"","ASSESSMENT","ID_NO","SCI_NAME","PRESENCE","ORIGIN","SEASONAL","COMPILER","YRCOMPILED"
"1",517178,136036,"Ctenophryne barbatula",1,1,1,"Kelsey Neam",2018
"2",517485,136055,"Anodonthyla moramora",1,1,1,"Jennifer Luedtke",2015
"3",1961657,190941,"Anodonthyla emilei",1,1,1,"Jennifer Luedtke",2014
"4",1965273,190989,"Gastrophrynoides immaculatus",1,1,1,"Louise Hobin",2022
"5",3056637,57204,"Ctenophryne carpish",1,1,1,"Kelsey Neam",2017
"6",3061340,57674,"Anodonthyla boulengerii",1,1,1,"IUCN",2008
"7",3061504,57676,"Anodonthyla nigrigularis",1,1,1,"Jennifer Luedtke",2015
"8",3062978,57816,"Hypopachus pictiventris",1,1,1,"Kelsey Neam",2019
"9",3063111,57900,"Ctenophryne aterrima",1,1,1,"Kelsey Neam",2019
"10",3063111,57900,"Ctenophryne aterrima",1,1,1,"Steve Best",2019
"11",3063281,57950,"Phrynomantis annectens",1,1,1,"Evie J Morris",2013
"12",3063393,57951,"Phrynomantis bifasciatus",1,1,1,"Evie J Morris",2013
"13",3063878,58020,"Chiasmocleis carvalhoi",1,1,1,"Kelsey Neam",2017
"14",3063999,58021,"Chiasmocleis tridactyla",1,1,1,"Kelsey Neam",2021
"15",3108285,61849,"Cophyla berara",1,1,1,"Jennifer Luedtke",2016
"16",13323507,57946,"Parhoplophryne usambarica",1,1,1,"IUCN",2008
"17",17170304,57822,"Hoplophryne rogersi",1,1,1,"Aina Pascual Cuadras",2012
"18",17170304,57822,"Hoplophryne rogersi",1,1,1,"Ariadne Angulo",2012
"19",17172855,57823,"Hoplophryne uluguruensis",1,1,1,"Aina Pascual Cuadras",2012
"20",18375469,57953,"Phrynomantis somalicus",1,1,1,"Evie J Morris",2013
"21",18380680,57949,"Phrynomantis affinis",1,1,1,"Evie J Morris",2013
"22",18380928,57952,"Phrynomantis microps",1,1,1,"Evie J Morris",2013
"23",46373631,46373615,"Kalophrynus limbooliati",1,1,1,"Louise Hobin",2020
"24",46373797,46373761,"Kalophrynus pleurostigma",1,1,1,"IUCN & Louise Hobin",2021
"25",46373797,46373761,"Kalophrynus pleurostigma",1,1,1,"Kelsey Neam",2021
"26",46373797,46373761,"Kalophrynus pleurostigma",6,1,1,"IUCN & Louise Hobin",2021
