"orig","prev","curr","sp","notes","citation","name"
"Oreophryne anamiatoi Kraus & Allison, 2009","Oreophryne","Oreophryne","anamiatoi","Retained in Oreophryne","Kraus & Allison, 2009","Oreophryne anamiatoi"
"Phrynixalus anulatus Stejneger, 1908","Oreophryne","Oreophryne","anulata","Retained in Oreophryne","Stejneger, 1908","Phrynixalus anulatus"
"Oreophryne aurora Kraus, 2016","Oreophryne","Oreophryne","aurora","Retained in Oreophryne","Kraus, 2016","Oreophryne aurora"
"Sphenophryne biroi Méhely, 1897","Oreophryne","Oreophryne","biroi","Retained in Oreophryne","Méhely, 1897","Sphenophryne biroi"
"Hylella brachypus Werner, 1898","Oreophryne","Oreophryne","brachypus","Retained in Oreophryne","Werner, 1898","Hylella brachypus"
"Oreophryne cameroni Kraus, 2013","Oreophryne","Oreophryne","cameroni","Retained in Oreophryne","Kraus, 2013","Oreophryne cameroni"
"Cophixalus geislerorum Boettger, 1892","Oreophryne","Oreophryne","geislerorum","Retained in Oreophryne","Boettger, 1892","Cophixalus geislerorum"
"Oreophryne graminis Günther & Richards, 2012","Oreophryne","Oreophryne","graminis","Retained in Oreophryne","Günther & Richards, 2012","Oreophryne graminis"
"Oreophryne inornata Zweifel, 1956","Oreophryne","Oreophryne","inornata","Retained in Oreophryne","Zweifel, 1956","Oreophryne inornata"
"Oreophryne lemur Kraus, 2016","Oreophryne","Oreophryne","lemur","Retained in Oreophryne","Kraus, 2016","Oreophryne lemur"
"Sphenophryne loriae Boulenger, 1898","Oreophryne","Oreophryne","loriae","Retained in Oreophryne","Boulenger, 1898","Sphenophryne loriae"
"Microhyla achatina var. moluccensis Peters and Doria, 1878","Oreophryne","Oreophryne","moluccensis","Retained in Oreophryne","Peters and Doria, 1878","Microhyla achatina var. moluccensis"
"Oreophryne nana Brown & Alcala, 1967","Oreophryne","Oreophryne","nana","Retained in Oreophryne","Brown & Alcala, 1967","Oreophryne nana"
"Oreophryne notata Zweifel, 2003","Oreophryne","Oreophryne","notata","Retained in Oreophryne","Zweifel, 2003","Oreophryne notata"
"Oreophryne parkeri Loveridge, 1955","Oreophryne","Oreophryne","parkeri","Retained in Oreophryne","Loveridge, 1955","Oreophryne parkeri"
"Oreophryne parkopanorum Kraus, 2013","Oreophryne","Oreophryne","parkopanorum","Retained in Oreophryne","Kraus, 2013","Oreophryne parkopanorum"
"Oreophryne philosylleptoris Kraus, 2016","Oreophryne","Oreophryne","philosylleptoris","Retained in Oreophryne","Kraus, 2016","Oreophryne philosylleptoris"
"Oreophryne brunnea Kraus, 2017","Oreophryne","Auparoparo","brunnea","Transferred to Auparoparo","Kraus, 2017","Oreophryne brunnea"
"Oreophryne equus Kraus, 2016","Oreophryne","Auparoparo","equus","Transferred to Auparoparo","Kraus, 2016","Oreophryne equus"
"Oreophryne ezra Kraus & Allison, 2009","Oreophryne","Auparoparo","ezra","Transferred to Auparoparo","Kraus & Allison, 2009","Oreophryne ezra"
"Oreophryne gagneorum Kraus, 2013","Oreophryne","Auparoparo","gagneorum","Transferred to Auparoparo","Kraus, 2013","Oreophryne gagneorum"
"Oreophryne insulana Zweifel, 1956","Oreophryne","Auparoparo","insulana","Transferred to Auparoparo","Zweifel, 1956","Oreophryne insulana"
"Oreophryne matawan Kraus, 2016","Oreophryne","Auparoparo","matawan","Transferred to Auparoparo","Kraus, 2016","Oreophryne matawan"
"Oreophryne meliades Kraus, 2016","Oreophryne","Auparoparo","meliades","Transferred to Auparoparo","Kraus, 2016","Oreophryne meliades"
"Oreophryne penelopeia Kraus, 2016","Oreophryne","Auparoparo","penelopeia","Transferred to Auparoparo","Kraus, 2016","Oreophryne penelopeia"
"Oreophryne phoebe Kraus, 2017","Oreophryne","Auparoparo","phoebe","Transferred to Auparoparo","Kraus, 2017","Oreophryne phoebe"
"Oreophryne picticrus Kraus, 2016","Oreophryne","Auparoparo","picticrus","Transferred to Auparoparo","Kraus, 2016","Oreophryne picticrus"
"Sphenophryne variabilis Boulenger, 1896","Oreophryne","Auparoparo","variabilis","Transferred to Auparoparo","Boulenger, 1896","Sphenophryne variabilis"
"Oreophryne albitympanum Günther, Richards, and Tjaturadi, 2018","Oreophryne","incertae sedis","albitympanum","","Günther, Richards, and Tjaturadi, 2018","Oreophryne albitympanum"
