"Original designation (author, date)",Previous generic placement,Current generic placement,Species,Notes
"Oreophryne anamiatoi (Kraus & Allison, 2009)",Oreophryne,Oreophryne,anamiatoi,
"Oreophryne aurora (Kraus, 2016)",Oreophryne,Oreophryne,aurora,
"Oreophryne biroi (Méhely, 1897)",Oreophryne,Oreophryne,biroi,
"Oreophryne brachypus (Werner, 1898)",Oreophryne,Oreophryne,brachypus,
"Oreophryne cameroni (Kraus, 2013)",Oreophryne,Oreophryne,cameroni,
"Oreophryne geislerorum (Boettger, 1892)",Oreophryne,Oreophryne,geislerorum,
"Oreophryne inornata (Zweifel, 1956)",Oreophryne,Oreophryne,inornata,
"Oreophryne lemur (Kraus, 2016)",Oreophryne,Oreophryne,lemur,
"Oreophryne loriae (Boulenger, 1898)",Oreophryne,Oreophryne,loriae,
"Oreophryne notata (Zweifel, 2003)",Oreophryne,Oreophryne,notata,
"Oreophryne parkopanorum (Kraus, 2013)",Oreophryne,Oreophryne,parkopanorum,
"Oreophryne philosylleptoris (Kraus, 2016)",Oreophryne,Oreophryne,philosylleptoris,
"Oreophryne parkeri (Loveridge, 1955)",Oreophryne,Oreophryne,parkeri,
"Oreophryne anulata (Stejneger, 1908)",Oreophryne,Auparoparo,anulata,Transferred to Auparoparo
"Oreophryne frontifasciata (Horst, 1883)",Oreophryne,Auparoparo,frontifasciata,Transferred to Auparoparo
"Oreophryne graminis (Günther & Richards, 2012)",Oreophryne,Auparoparo,graminis,Transferred to Auparoparo
"Oreophryne seckenbergiana (Peters & Doria, 1878)",Oreophryne,Auparoparo,seckenbergiana,Transferred to Auparoparo
"Oreophryne variabilis (Boulenger, 1896)",Oreophryne,Auparoparo,variabilis,Transferred to Auparoparo
"Oreophryne equus (Kraus, 2016)",Oreophryne,Auparoparo,equus,Transferred to Auparoparo
"Oreophryne ezra (Kraus & Allison, 2009)",Oreophryne,Auparoparo,ezra,Transferred to Auparoparo
"Oreophryne insulana (Zweifel, 1956)",Oreophryne,Auparoparo,insulana,Transferred to Auparoparo
"Oreophryne matawan (Kraus, 2016)",Oreophryne,Auparoparo,matawan,Transferred to Auparoparo
"Oreophryne meliades (Kraus, 2016)",Oreophryne,Auparoparo,meliades,Transferred to Auparoparo
"Oreophryne penelopeia (Kraus, 2016)",Oreophryne,Auparoparo,penelopeia,Transferred to Auparoparo
"Oreophryne phoebe (Kraus, 2017)",Oreophryne,Auparoparo,phoebe,Transferred to Auparoparo
"Oreophryne picticrus (Kraus, 2016)",Oreophryne,Auparoparo,picticrus,Transferred to Auparoparo
"Oreophryne brunnea (Kraus, 2017)",Oreophryne,Auparoparo,brunnea,Transferred to Auparoparo
"Oreophryne nana (Brown & Alcala, 1967)",Oreophryne,Auparoparo,nana,Transferred to Auparoparo
"Aphantophryne pansa (Fry, 1917)",Aphantophryne,Auparoparo,pansa,Transferred to Auparoparo
"Aphantophryne sabini (Zweifel & Parker, 1989)",Aphantophryne,Auparoparo,sabini,Transferred to Auparoparo
