"Genus","species","proc","clav","omo","ster","call type","fing: toe width","pec lig","rel toe len","toe web","tymp:eye diam","reference"
"Oreophryne","anamiatoi","CR","CR","–","cart"," chuckle or cackle","1.2","cart","5>3","–","1/4","Kraus Allison 2009"
"Oreophryne","anulata","CR","CR","–","cart","","slightly larger","","5>3","–","1/2","Stejneger 1908"
"Oreophryne","aurora","CR","CR","–","cart","harsh croaks","","lig","5>3","webbed","1/4","Kraus 2016"
"Oreophryne","biroi","CR","CR","–","cart","rattle","1.1","lig","5=3","webbed","1/4","Zweifel 2003"
"Oreophryne","brachypus","CR","CR","–","cart","long squeak","1.1","lig","5>3","webbed","1/4","Zweifel 2003"
"Oreophryne","cameroni","CR","CR","–","cart","peep","","cart","5>3","basal","1/4","Kraus 2013"
"Oreophryne","frontifasciata","CR","CR","–","cart","","slightly larger","cart","5>3","basal","1/2","Horst 1883, Brongersma 1948"
"Oreophryne","geislerorum","CR","CR","–","cart","rattle","","lig","5>3","webbed","1/3","Zweifel 2003"
"Oreophryne","graminis","CR","CR","–","cart","peep","approx equal","cart","5>3","–","1/3","Gunther Richards 2012"
"Oreophryne","inornata","CR","CR","–","cart","honk","1.0","lig","5>3","basal","1/4","Kraus 2016"
"Oreophryne","lemur","CR","CR","–","cart","honk","","lig","5>3","basal","1/4","Kraus 2016"
"Oreophryne","loriae","CR","CR","–","cart","honk","","lig","5>3","webbed","1/3","Kraus 2016"
"Oreophryne","nana","CR","CR","–","cart","","approx equal","cart","5<3","–","1/2","Brown Alcala, 1967"
"Oreophryne","notata","CR","CR","–","cart","peep","","cart","5>3","–","1/4","Zweifel 2003"
"Oreophryne","parkeri","CR","CR","–","cart","peep","","lig","5>3","webbed","1/3","Kraus 2013, Zweifel 2003"
"Oreophryne","parkopanorum","CR","CR","–","cart","","","cart","5<3","–","1/4","Kraus 2013"
"Oreophryne","philosylleptoris","CR","CR","–","cart","honk","1.0","lig","5>3","webbed","1/3","Kraus 2016"
"Oreophryne","senckenbergiana","CR","CR","–","cart","","slightly larger","","5=3","basal","1/3","Boettger 1895, Parker 1934"
"Auparoparo","brunnea","CR","CR","–","cart","rattle","larger","lig","5=3","basal","1/3","Kraus 2017"
"Auparoparo","equus","CR","CR","–","cart","whinny","1.3","lig","5=3","basal","1/4","Kraus 2016"
"Auparoparo","ezra","CR","CR","–","cart","chatter","","lig","5>3","basal","1/4","Kraus Allison 2009"
"Auparoparo","insulana","CR","CR","–","cart","whinny","","lig","5>3","basal","1/4","Kraus 2016, Zweifel 1956"
"Auparoparo","matawan","CR","CR","–","cart","rattle","","lig","5≥3","–","1/4","Kraus 2016"
"Auparoparo","meliades","CR","CR","–","cart","whinny","1.2","lig","5=3","basal","1/3","Kraus 2016"
"Auparoparo","penelopeia","CR","CR","–","cart","whinny","1.3","lig","5>3","basal","1/4","Kraus 2016"
"Auparoparo","phoebe","CR","CR","–","cart","whinny","1.2","cart","5>3","webbed","1/4","Kraus 2017"
"Auparoparo","picticrus","CR","CR","–","cart","whinny","1.3","lig","5>3","basal","1/3","Kraus 2016"
"Auparoparo","variabilis","CR","CR","–","cart","","much larger","cart","","–",">2/3","Boulenger 1896"
