"","sp","orig.x","prev","curr","notes","species","citation.x","name","auth","orig.y","latitude","longitude","citation.y"
"1","albitympanum","Oreophryne albitympanum Günther, Richards, and Tjaturadi, 2018","Oreophryne","incertae sedis","","Oreophryne albitympanum","Günther, Richards, and Tjaturadi, 2018","Oreophryne albitympanum","Günther, Richards, and Tjaturadi, 2018","Oreophryne albitympanum Günther, Richards, and Tjaturadi, 2018",-2.57667,138.7175,"Günther, Richards, and Tjaturadi, 2018"
"2","albomaculata","Oreophryne albomaculata Günther, Richards, and Dahl, 2014","Oreophryne","incertae sedis","","Oreophryne albomaculata","Günther, Richards, and Dahl, 2014","Oreophryne albomaculata","Günther, Richards, and Dahl, 2014","Oreophryne albomaculata Günther, Richards, and Dahl, 2014",-5.65662,142.30462,"Günther, Richards, and Dahl, 2014"
"3","albopunctata","Sphenophryne albopunctata Van Kampen, 1909","Oreophryne","incertae sedis","","Sphenophryne albopunctata","Van Kampen, 1909","Sphenophryne albopunctata","Van Kampen, 1909","Oreophryne albopunctata (Van Kampen, 1909)",-4.77434,138.79759,"(Van Kampen, 1909)"
"4","alticola","Oreophryne alticola Zweifel, Cogger, and Richards, 2005","Oreophryne","incertae sedis","","Oreophryne alticola","Zweifel, Cogger, and Richards, 2005","Oreophryne alticola","Zweifel, Cogger, and Richards, 2005","Oreophryne alticola Zweifel, Cogger, and Richards, 2005",-4.7073,140.3099,"Zweifel, Cogger, and Richards, 2005"
"5","ampelos","Oreophryne ampelos Kraus, 2011","Oreophryne","incertae sedis","","Oreophryne ampelos","Kraus, 2011","Oreophryne ampelos","Kraus, 2011","Oreophryne ampelos Kraus, 2011",-5.2833,141.4833,"Kraus, 2011"
"6","anamiatoi","Oreophryne anamiatoi Kraus & Allison, 2009","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne anamiatoi","Kraus & Allison, 2009","Oreophryne anamiatoi","Kraus & Allison, 2009","Oreophryne anamiatoi Kraus and Allison, 2009",-5.66954,142.62334,"Kraus and Allison, 2009"
"7","anser","Oreophryne anser Kraus, 2016","Oreophryne","incertae sedis","","Oreophryne anser","Kraus, 2016","Oreophryne anser","Kraus, 2016","Oreophryne anser Kraus, 2016",-10.4994,150.2312,"Kraus, 2016"
"8","anthonyi","Sphenophryne anthonyi Boulenger, 1897","Oreophryne","incertae sedis","","Sphenophryne anthonyi","Boulenger, 1897","Sphenophryne anthonyi","Boulenger, 1897","Oreophryne anthonyi (Boulenger, 1897)",-8.97196,147.57128,"(Boulenger, 1897)"
"9","anulata","Phrynixalus anulatus Stejneger, 1908","Oreophryne","Oreophryne","Retained in Oreophryne","Phrynixalus anulatus","Stejneger, 1908","Phrynixalus anulatus","Stejneger, 1908","Oreophryne anulata (Stejneger, 1908)",7.08445,125.56469,"(Stejneger, 1908)"
"10","asplenicola","Oreophryne asplenicola Günther, 2003","Oreophryne","incertae sedis","","Oreophryne asplenicola","Günther, 2003","Oreophryne asplenicola","Günther, 2003","Oreophryne asplenicola Günther, 2003",-1.78333,136.33333,"Günther, 2003"
"11","atrigularis","Oreophryne atrigularis Günther, Richards, and Iskandar, 2001","Oreophryne","incertae sedis","","Oreophryne atrigularis","Günther, Richards, and Iskandar, 2001","Oreophryne atrigularis","Günther, Richards, and Iskandar, 2001","Oreophryne atrigularis Günther, Richards, and Iskandar, 2001",-2.93334,134.6,"Günther, Richards, and Iskandar, 2001"
"12","aurora","Oreophryne aurora Kraus, 2016","Oreophryne","Oreophryne","Retained in Oreophryne","Oreophryne aurora","Kraus, 2016","Oreophryne aurora","Kraus, 2016","Oreophryne aurora Kraus, 2016",-11.3635,154.0024,"Kraus, 2016"
"13","banshee","Oreophryne banshee Kraus, 2016","Oreophryne","incertae sedis","","Oreophryne banshee","Kraus, 2016","Oreophryne banshee","Kraus, 2016","Oreophryne banshee Kraus, 2016",-11.4903,153.4136,"Kraus, 2016"
"14","biroi","Sphenophryne biroi Méhely, 1897","Oreophryne","Oreophryne","Retained in Oreophryne","Sphenophryne biroi","Méhely, 1897","Sphenophryne biroi","Méhely, 1897","Oreophryne biroi (Méhely, 1897)",-4.83579,145.25691,"(Méhely, 1897)"
