"Original designation (author, date)",
"Oreophryne albitympanum (Günther, Richards, and Tjaturadi, 2018)",
"Oreophryne albomaculata (Günther, Richards, and Dahl, 2014)",
"Sphenophryne albopunctata (Van Kampen, 1909)",
"Oreophryne alticola (Zweifel, Cogger, and Richards, 2005)",
"Oreophryne ampelos (Kraus, 2011)",
"Oreophryne anser (Kraus, 2016)",
"Sphenophryne anthonyi (Boulenger, 1897)",
"Oreophryne asplenicola (Günther, 2003)",
"Oreophryne atrigularis (Günther, Richards, and Iskandar, 2001)",
"Oreophryne banshee (Kraus, 2016)",
"Oreophryne brevicrus (Zweifel, 1956)",
"Oreophryne brevirostris (Zweifel, Cogger, and Richards, 2005)",
"Sphenophryne celebensis (Müller, 1894)",
"Oreophryne choerophrynoides (Günther, 2015)",
"Oreophryne chlorops (Günther, Iskandar, and Richards, 2023)",
"Oreophryne clamata (Günther, 2003)",
"Cophixalus crucifer (Van Kampen, 1913)",
"Oreophryne curator (Günther, Richards, and Dahl, 2014)",
"Oreophryne flava (Parker, 1934)",
"Oreophryne flavomaculata (Günther and Richards, 2016)",
"Oreophryne furu (Günther, Richards, Tjaturadi, and Iskandar, 2009)",
"Oreophryne geminus (Zweifel, Cogger, and Richards, 2005)",
"Oreophryne habbemensis (Zweifel, Cogger, and Richards, 2005)",
"Oreophryne hypsiops (Zweifel, Menzies, and Price, 2003)",
"Oreophryne idenburgensis (Zweifel, 1956)",
"Oreophryne jeffersoniana (Dunn, 1928)",
"Oreophryne kampeni (Parker, 1934)",
"Oreophryne kapisa (Günther, 2003)",
"Sphenophryne mertoni (Roux, 1910)",
"Oreophryne minuta (Richards and Iskandar, 2000)",
"Sphenophryne monticola (Boulenger, 1897)",
"Oreophryne nicolasi (Richards and Günther, 2019)",
"Oreophryne oviprotector (Günther, Richards, Bickford, and Johnston, 2012)",
"Oreophryne pseudasplenicola (Günther, 2003)",
"Oreophryne pseudunicolor (Günther and Richards, 2016)",
"Oreophryne roedeli (Günther, 2015)",
"Oreophryne rookmaakeri (Mertens, 1927)",
"Oreophryne riyantoi (Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023)",
"Oreophryne sibilans (Günther, 2003)",
"Oreophryne streiffeleri (Günther and Richards, 2012)",
"Oreophryne terrestris (Zweifel, Cogger, and Richards, 2005)",
"Oreophryne unicolor (Günther, 2003)",
"Oreophryne waira (Günther, 2003)",
"Oreophryne wapoga (Günther, Richards, and Iskandar, 2001)",
"Hylella wolterstorffi (Werner, 1901)",
"Oreophryne zimmeri (Ahl, 1933)",
