COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
--,Oreophryne (Genus of Microhylidae),1169,alcoholic,installed,"""West New Guinea, Bomberi""",Bomberai {Indonesia: Papua [= Irian Jaya]: Fakfak Div.: Bomberai    :    2.766ºS  132.788ºE.},,Papua [= Irian Jaya],prob. J L Gressitt,06 Jun 1959,"-2.766, 132.788",Bomberai,Indonesia,Papua [= Irian Jaya],Fakfak Div.,Bomberai,-2.766,132.788,2.766ºS 132.788ºE,
--,Oreophryne (Genus of Microhylidae),1170,alcoholic,"out on loan to Zweifel,BP-1203","""West New Guinea, Nabire""",Nabire {Indonesia: Papua [= Irian Jaya]: Paniai Div.: Nabire    :    3.367ºS  135.483ºE.},,Papua [= Irian Jaya],N Wilson,11 Oct 1962,"-3.367, 135.483",Nabire,Indonesia,Papua [= Irian Jaya],Paniai Div.,Nabire,-3.367,135.483,3.367ºS 135.483ºE,
--,Oreophryne (Genus of Microhylidae),1172,alcoholic,installed,"""Terr. New Guinea, Karimui, 1000 m."" = from Herpetology book catalog",Karimui {Papua New Guinea: Chimbu Prov.: Karimui    :    1000 m    :    6.49865193ºS  144.83223944ºE.},,Chimbu Prov.,J L & M Gressitt,06 Jun 1961,"-6.49865193, 144.83223944",1000 m,Papua New Guinea,Chimbu Prov.,Karimui    ,Karimui,-6.49865193,144.8322394,6.49865193ºS 144.83223944ºE,
--,Oreophryne (Genus of Microhylidae),1173,alcoholic,installed,"""Terr. New Guinea, Karimui, 1000 m."" = from Herpetology book catalog",Karimui {Papua New Guinea: Chimbu Prov.: Karimui    :    1000 m    :    6.49865193ºS  144.83223944ºE.},,Chimbu Prov.,J L & M Gressitt,06 Jun 1961,"-6.49865193, 144.83223944",1000 m,Papua New Guinea,Chimbu Prov.,Karimui    ,Karimui,-6.49865193,144.8322394,6.49865193ºS 144.83223944ºE,
--,Oreophryne (Genus of Microhylidae),1174,alcoholic,installed,"""Terr. New Guinea, Karimui, 1000 m."" = from Herpetology book catalog",Karimui {Papua New Guinea: Chimbu Prov.: Karimui    :    1000 m    :    6.49865193ºS  144.83223944ºE.},,Chimbu Prov.,J L & M Gressitt,06 Jun 1961,"-6.49865193, 144.83223944",1000 m,Papua New Guinea,Chimbu Prov.,Karimui    ,Karimui,-6.49865193,144.8322394,6.49865193ºS 144.83223944ºE,
--,Oreophryne (Genus of Microhylidae),1175,alcoholic,installed,"""Terr. New Guinea, Karimui, 1000 m."" = from Herpetology book catalog",Karimui {Papua New Guinea: Chimbu Prov.: Karimui    :    1000 m    :    6.49865193ºS  144.83223944ºE.},,Chimbu Prov.,J L & M Gressitt,06 Jun 1961,"-6.49865193, 144.83223944",1000 m,Papua New Guinea,Chimbu Prov.,Karimui    ,Karimui,-6.49865193,144.8322394,6.49865193ºS 144.83223944ºE,
--,Oreophryne (Genus of Microhylidae),1176,alcoholic,installed,"""Neth. New Guinea, Nabire, 5m = from Herpetology Book Catalog",Nabire {Indonesia: Papua [= Irian Jaya]: Paniai Div.: Nabire    :    5 m    :    3.367ºS  135.483ºE.},,Papua [= Irian Jaya],J L Gressitt,04 Jul 1962,"-3.367, 135.483",5 m,Indonesia,Papua [= Irian Jaya],Paniai Div.,Nabire,-3.367,135.483,3.367ºS 135.483ºE,
--,Oreophryne (Genus of Microhylidae),1177,alcoholic,installed,"""Terr. New Guinea, Salawaket Range, Baindep, 1260 m."" = from Herpetology book catalog","Baindep, Sarawaget Range {Papua New Guinea: Morobe Prov.: Baindep, Sarawaget Range    :    1260 m.}",,Morobe Prov.,"E J Ford, Jr",16 Sep 1956,"1260, m","Baindep, Sarawaget Range",Papua New Guinea,Morobe Prov.,"Baindep, Sarawaget Range    ","Baindep, Sarawaget Range",1260,NA,1260 m,
--,Oreophryne (Genus of Microhylidae),1180,alcoholic,installed,"""Terr. New Guinea, Adelbert Mtns., Wanuma, 1000 m."" = from Herpetology book catalog","Wanuma, Adelbert Mtns. {Papua New Guinea: Madang Prov.: Wanuma, Adelbert Mtns.    :    1000 m    :    4.89809409ºS  145.31915001ºE.}",,Madang Prov.,J L Gressitt,24 Oct. 1958,"-4.89809409, 145.31915001",1000 m,Papua New Guinea,Madang Prov.,"Wanuma, Adelbert Mtns.    ","Wanuma, Adelbert Mtns.",-4.89809409,145.31915,4.89809409ºS 145.31915001ºE,
--,Oreophryne (Genus of Microhylidae),1181,alcoholic,installed,"""Terr. New Guinea, Adelbert Mtns., Wanuma, 1000 m."" = from Herpetology book catalog","Wanuma, Adelbert Mtns. {Papua New Guinea: Madang Prov.: Wanuma, Adelbert Mtns.    :    1000 m    :    4.89809409ºS  145.31915001ºE.}",,Madang Prov.,J L Gressitt,24 Oct 1958,"-4.89809409, 145.31915001",1000 m,Papua New Guinea,Madang Prov.,"Wanuma, Adelbert Mtns.    ","Wanuma, Adelbert Mtns.",-4.89809409,145.31915,4.89809409ºS 145.31915001ºE,
--,Oreophryne (Genus of Microhylidae),1221,alcoholic,installed,"New Britain, Ti, Nakanai Mts. = from Herpetology book catalog",,,,"E J Ford, Jr",29 Jul 1956,", ",,,,,,NA,NA,,
--,Oreophryne (Genus of Microhylidae),3021,alcoholic,"installed, Jul 2004","Neth. New Guinea, Japen I., 5 km NE Sumberbaba, Dawi R. area, el 15 ft.","Japen Island, Dawai River area, 5 km NE Sumberbaba {Indonesia: Papua [= Irian Jaya]: Yapen Waropen Div.: Japen Island, Dawai River area, 5 km NE Sumberbaba    :    15 ft    :    1.78785ºS  136.78853ºE.}",,Papua [= Irian Jaya],N Wilson,22 Oct 1962,"-1.78785, 136.78853",15 ft,Indonesia,Papua [= Irian Jaya],Yapen Waropen Div.,"Japen Island, Dawai River area, 5 km NE Sumberbaba",-1.78785,136.78853,1.78785ºS 136.78853ºE,
--,Oreophryne (Genus of Microhylidae),3022,alcoholic,"installed, Jul 2004","Neth. New Guinea, Japen I., 5 km NE Sumberbaba, Dawi R. area, el 15 ft.","Japen Island, Dawai River area, 5 km NE Sumberbaba {Indonesia: Papua [= Irian Jaya]: Yapen Waropen Div.: Japen Island, Dawai River area, 5 km NE Sumberbaba    :    15 ft    :    1.78785ºS  136.78853ºE.}",,Papua [= Irian Jaya],N Wilson,22 Oct 1962,"-1.78785, 136.78853",15 ft,Indonesia,Papua [= Irian Jaya],Yapen Waropen Div.,"Japen Island, Dawai River area, 5 km NE Sumberbaba",-1.78785,136.78853,1.78785ºS 136.78853ºE,
--,Oreophryne (Genus of Microhylidae),3023,alcoholic,"installed, Jul 2004","Neth. New Guinea, Japen I., 5 km NE Sumberbaba, Dawai R. area, el 15 ft.","Japen Island, Dawai River area, 5 km NE Sumberbaba {Indonesia: Papua [= Irian Jaya]: Yapen Waropen Div.: Japen Island, Dawai River area, 5 km NE Sumberbaba    :    15 ft    :    1.78785ºS  136.78853ºE.}",,Papua [= Irian Jaya],N Wilson,22 Oct 1962,"-1.78785, 136.78853",15 ft,Indonesia,Papua [= Irian Jaya],Yapen Waropen Div.,"Japen Island, Dawai River area, 5 km NE Sumberbaba",-1.78785,136.78853,1.78785ºS 136.78853ºE,
--,Oreophryne (Genus of Microhylidae),3024,alcoholic,"installed, Jul 2004","Neth. New Guinea, Japen I., 5 km NE Sumberbaba, Dawai R. area, el 15 ft.","Japen Island, Dawai River area, 5 km NE Sumberbaba {Indonesia: Papua [= Irian Jaya]: Yapen Waropen Div.: Japen Island, Dawai River area, 5 km NE Sumberbaba    :    15 ft    :    1.78785ºS  136.78853ºE.}",,Papua [= Irian Jaya],N Wilson,22 Oct 1962,"-1.78785, 136.78853",15 ft,Indonesia,Papua [= Irian Jaya],Yapen Waropen Div.,"Japen Island, Dawai River area, 5 km NE Sumberbaba",-1.78785,136.78853,1.78785ºS 136.78853ºE,
--,Oreophryne (Genus of Microhylidae),3025,alcoholic,"installed, Jul 2004","Neth. New Guinea, Japen I., 5 km NE Sumberbaba, Dawai R.","Japen Island, Dawai River, 5 km NE Sumberbaba {Indonesia: Papua [= Irian Jaya]: Yapen Waropen Div.: Japen Island, Dawai River, 5 km NE Sumberbaba    :    1.78785ºS  136.78853ºE.}",,Papua [= Irian Jaya],N Wilson,26 Oct 1962,"-1.78785, 136.78853","Japen Island, Dawai River, 5 km NE Sumberbaba",Indonesia,Papua [= Irian Jaya],Yapen Waropen Div.,"Japen Island, Dawai River, 5 km NE Sumberbaba",-1.78785,136.78853,1.78785ºS 136.78853ºE,
--,Oreophryne (Genus of Microhylidae),4178,alcoholic,installed,"Lake Louise, NW of Telefomin",,,,A B Mirza,14 Feb 1970,", ",,,,,,NA,NA,,
--,Oreophryne (Genus of Microhylidae),4179,alcoholic,installed,"Lake Louise, NW of Telefomin",,,,A B Mirza,14 Feb 1970,", ",,,,,,NA,NA,,
--,Oreophryne (Genus of Microhylidae),4180,alcoholic,installed,Star Mountains,,,,A B Mirza,05 Mar 1970,", ",,,,,,NA,NA,,
--,Oreophryne (Genus of Microhylidae),4185,alcoholic,installed,NE of Telefomin,,,,A B Mirza,02 Feb 1970,", ",,,,,,NA,NA,,
JRH 3527,Oreophryne (Genus of Microhylidae),6189,alcoholic,"installed, Dec 2004","New Guinea, between Kugapa and Dasiga = JRH catalog.",between Kugapa and Dasiga {Indonesia: Papua [= Irian Jaya]: Paniai Div.: between Kugapa and Dasiga.},,Papua [= Irian Jaya],E J Brody,11 Apr 1959,", between Kugapa and Dasiga",Paniai Div.,Indonesia,Papua [= Irian Jaya],Paniai Div.,between Kugapa and Dasiga,NA,NA,between Kugapa and Dasiga,
JRH 3530,Oreophryne (Genus of Microhylidae),6191,alcoholic,"installed, Dec 2004","Approx. 2 mi. N. of Dasiga, New Guinea = JRH catalog.","Dasiga, ca. 2 mi. N {Indonesia: Papua [= Irian Jaya]: Paniai Div. [?]: Dasiga, ca. 2 mi. N.}",,Papua [= Irian Jaya],E J Brody,15 Apr 1959,", Dasiga, ca. 2 mi. N",Paniai Div. [?],Indonesia,Papua [= Irian Jaya],Paniai Div. [?],"Dasiga, ca. 2 mi. N",NA,NA,"Dasiga, ca. 2 mi. N",
AA 9321,Oreophryne (Genus of Microhylidae),9541,alcoholic,"installed, Oct 2001","vic. Aseki, +/- 1200 m, Morobe Province, Papua New Guinea.",Aseki {Papua New Guinea: Morobe Prov.: Aseki    :    1200 m    :    7.3515247ºS  146.19238725ºE.},,Morobe Prov.,A Allison,02 Apr 1982,"-7.3515247, 146.19238725",1200 m,Papua New Guinea,Morobe Prov.,Aseki    ,Aseki,-7.3515247,146.1923873,7.3515247ºS 146.19238725ºE,
