TYPE LOCALITIES OF OREOPHRYNE SPECIES,,
SPECIES,DECLAT,DECLON
"Oreophryne albitympanum Günther, Richards, and Tjaturadi, 2018",-2.57667,138.71750
"Oreophryne albomaculata Günther, Richards, and Dahl, 2014",-5.65662,142.30462
"Oreophryne albopunctata (Van Kampen, 1909)",-4.77434,138.79759
"Oreophryne alticola Zweifel, Cogger, and Richards, 2005",-4.70730,140.30990
"Oreophryne ampelos Kraus, 2011",-5.28330,141.48330
"Oreophryne anamiatoi Kraus and Allison, 2009",-5.66954,142.62334
"Oreophryne anser Kraus, 2016",-10.49940,150.23120
"Oreophryne anthonyi (Boulenger, 1897)",-8.97196,147.57128
"Oreophryne anulata (Stejneger, 1908)",7.08445,125.56469
"Oreophryne asplenicola Günther, 2003",-1.78333,136.33333
"Oreophryne atrigularis Günther, Richards, and Iskandar, 2001",-2.93334,134.60000
"Oreophryne aurora Kraus, 2016",-11.36350,154.00240
"Oreophryne banshee Kraus, 2016",-11.49030,153.41360
"Oreophryne biroi (Méhely, 1897)",-4.83579,145.25691
"Oreophryne brachypus (Werner, 1898)",-4.33653,152.25237
"Oreophryne brevicrus Zweifel, 1956",-4.09869,138.74434
"Oreophryne brevirostris Zweifel, Cogger, and Richards, 2005",-4.66667,140.33333
"Oreophryne brunnea Kraus, 2017",-9.19510,149.16160
"Oreophryne cameroni Kraus, 2013",-4.70480,145.40420
"Oreophryne celebensis (Müller, 1894)",0.50321,123.73106
"Oreophryne celebensis (Müller, 1894)",1.493227,125.159763
"Oreophryne chlorops Günther, Iskandar, and Richards, 2023",-3.44160,136.47380
"Oreophryne choerophrynoides Günther, 2015",-2.83554,132.30564
"Oreophryne clamata Günther, 2003",-2.93333,134.60000
"Oreophryne crucifer (Van Kampen, 1913)",-4.52947,138.79279
"Oreophryne crucifer (Van Kampen, 1913)",-4.487735,138.787612
"Oreophryne curator Günther, Richards, and Dahl, 2014",-5.65672,142.30462
"Oreophryne equus Kraus, 2016",-10.49560,150.23400
"Oreophryne ezra Kraus and Allison, 2009",-11.50543,153.42995
"Oreophryne flava Parker, 1934",-4.64153,138.76131
"Oreophryne flavomaculata Günther and Richards, 2016",-6.43268,143.21495
"Oreophryne frontifasciata (Horst, 1883)",2.36284,128.39942
"Oreophryne furu Günther, Richards, Tjaturadi, and Iskandar, 2009",-3.28444,138.63611
"Oreophryne gagneorum Kraus, 2013",-11.35550,154.22460
"Oreophryne geislerorum (Boettger, 1892)",,
"Oreophryne geminus Zweifel, Cogger, and Richards, 2005",-5.01667,141.10000
"Oreophryne graminis Günther and Richards, 2012",-5.57027,143.05877
"Oreophryne habbemensis Zweifel, Cogger, and Richards, 2005",-4.12653,138.65644
"Oreophryne hypsiops Zweifel, Menzies, and Price, 2003",-5.01208,145.79366
"Oreophryne idenburgensis Zweifel, 1956",-3.50815,139.02952
"Oreophryne inornata Zweifel, 1956",-9.35274,150.24623
"Oreophryne insulana Zweifel, 1956",-9.35274,150.24623
"Oreophryne jeffersoniana Dunn, 1928",-8.56354,119.45504
"Oreophryne kampeni Parker, 1934",-9.37130,147.57387
"Oreophryne kapisa Günther, 2003",-0.93333,135.98333
"Oreophryne lemur Kraus, 2016",-8.45530,147.26300
"Oreophryne loriae (Boulenger, 1898)",-9.37130,147.57387
"Oreophryne matawan Kraus, 2016",-10.02110,149.59300
"Oreophryne meliades Kraus, 2016",-11.43470,153.43110
"Oreophryne mertoni (Roux, 1910)",-5.68438,134.25228
"Oreophryne minuta Richards and Iskandar, 2000",-3.44212,136.47275
"Oreophryne moluccensis (Peters and Doria, 1878)",-0.62533,127.49493
"Oreophryne monticola (Boulenger, 1897)",-8.46713,116.22120
"Oreophryne nicolasi Richards and Günther, 2019",-6.02050,142.54730
"Oreophryne notata Zweifel, 2003",-6.24786,143.97770
"Oreophryne oviprotector Günther, Richards, Bickford, and Johnston, 2012",-5.72918,142.26328
"Oreophryne parkopanorum Kraus, 2013",-3.37730,142.51800
"Oreophryne penelopeia Kraus, 2016",-10.07810,151.00700
"Oreophryne philosylleptoris Kraus, 2016",-10.03150,150.97810
"Oreophryne phoebe Kraus, 2017",-9.12168,152.74868
"Oreophryne picticrus Kraus, 2016",-10.67250,152.68380
"Oreophryne pseudasplenicola Günther, 2003",-1.75000,136.31667
"Oreophryne pseudunicolor Günther and Richards, 2016",-7.12952,143.61343
"Oreophryne purari Günther, Nagombi, and Richards, 2025",-7.35180,143.61343
"Oreophryne riyantoi Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023",-3.66267,121.22067
"Oreophryne roedeli Günther, 2015",-2.87710,132.30472
"Oreophryne rookmaakeri Mertens, 1927",-8.64206,120.55984
"Oreophryne sibilans Günther, 2003",-2.93333,134.63333
"Oreophryne streiffeleri Günther and Richards, 2012",-5.50305,143.08110
"Oreophryne terrestris Zweifel, Cogger, and Richards, 2005",-5.01667,141.10000
"Oreophryne unicolor Günther, 2003",-2.93333,134.61667
"Oreophryne variabilis (Boulenger, 1896)",-5.39346,119.91400
"Oreophryne waira Günther, 2003",-1.78333,136.33333
"Oreophryne wapoga Günther, Richards, and Iskandar, 2001",-3.14478,136.57372
"Oreophryne wolterstorffi (Werner, 1901)",,
"Oreophryne zimmeri Ahl, 1933",-3.63744,121.22331
