"Original designation (author, date)",Previous generic designation,Current generic designation,Species,Notes
"Oreophryne anamiatoi (Kraus & Allison, 2009)",Oreophryne,Oreophryne,anamiatoi,Retained in Oreophryne
"Phrynixalus anulatus (Stejneger, 1908)",Oreophryne,Oreophryne,anulata,Retained in Oreophryne
"Oreophryne aurora (Kraus, 2016)",Oreophryne,Oreophryne,aurora,Retained in Oreophryne
"Sphenophryne biroi (Méhely, 1897)",Oreophryne,Oreophryne,biroi,Retained in Oreophryne
"Hylella brachypus (Werner, 1898)",Oreophryne,Oreophryne,brachypus,Retained in Oreophryne
"Oreophryne cameroni (Kraus, 2013)",Oreophryne,Oreophryne,cameroni,Retained in Oreophryne
"Callula frontifasciata (Horst, 1883)",Oreophryne,Oreophryne,frontifasciata,Retained in Oreophryne
"Cophixalus geislerorum (Boettger, 1892)",Oreophryne,Oreophryne,geislerorum,Retained in Oreophryne
"Oreophryne graminis (Günther & Richards, 2012)",Oreophryne,Oreophryne,graminis,Retained in Oreophryne
"Oreophryne inornata (Zweifel, 1956)",Oreophryne,Oreophryne,inornata,Retained in Oreophryne
"Oreophryne lemur (Kraus, 2016)",Oreophryne,Oreophryne,lemur,Retained in Oreophryne
"Sphenophryne loriae (Boulenger, 1898)",Oreophryne,Oreophryne,loriae,Retained in Oreophryne
"Oreophryne nana (Brown & Alcala, 1967)",Oreophryne,Oreophryne,nana,Retained in Oreophryne
"Oreophryne notata (Zweifel, 2003)",Oreophryne,Oreophryne,notata,Retained in Oreophryne
"Oreophryne parkeri (Loveridge, 1955)",Oreophryne,Oreophryne,parkeri,Retained in Oreophryne
"Oreophryne parkopanorum (Kraus, 2013)",Oreophryne,Oreophryne,parkopanorum,Retained in Oreophryne
"Oreophryne philosylleptoris (Kraus, 2016)",Oreophryne,Oreophryne,philosylleptoris,Retained in Oreophryne
"Microhyla achatina var. moluccensis (Peters & Doria, 1878)",Oreophryne,Oreophryne,seckenbergiana,Retained in Oreophryne
"Oreophryne brunnea (Kraus, 2017)",Oreophryne,Auparoparo,brunnea,Transferred to Auparoparo
"Oreophryne equus (Kraus, 2016)",Oreophryne,Auparoparo,equus,Transferred to Auparoparo
"Oreophryne ezra (Kraus & Allison, 2009)",Oreophryne,Auparoparo,ezra,Transferred to Auparoparo
"Oreophryne insulana (Zweifel, 1956)",Oreophryne,Auparoparo,insulana,Transferred to Auparoparo
"Oreophryne matawan (Kraus, 2016)",Oreophryne,Auparoparo,matawan,Transferred to Auparoparo
"Oreophryne meliades (Kraus, 2016)",Oreophryne,Auparoparo,meliades,Transferred to Auparoparo
"Oreophryne penelopeia (Kraus, 2016)",Oreophryne,Auparoparo,penelopeia,Transferred to Auparoparo
"Oreophryne phoebe (Kraus, 2017)",Oreophryne,Auparoparo,phoebe,Transferred to Auparoparo
"Oreophryne picticrus (Kraus, 2016)",Oreophryne,Auparoparo,picticrus,Transferred to Auparoparo
"Sphenophryne variabilis (Boulenger, 1896)",Oreophryne,Auparoparo,variabilis,Transferred to Auparoparo
"Oreophryne albitympanum (Günther, Richards, and Tjaturadi, 2018)",Oreophryne,,,
"Oreophryne albomaculata (Günther, Richards, and Dahl, 2014)",Oreophryne,,,
"Sphenophryne albopunctata (Van Kampen, 1909)",Oreophryne,,,
"Oreophryne alticola (Zweifel, Cogger, and Richards, 2005)",Oreophryne,,,
"Oreophryne ampelos (Kraus, 2011)",Oreophryne,,,
"Oreophryne anser (Kraus, 2016)",Oreophryne,,,
"Sphenophryne anthonyi (Boulenger, 1897)",Oreophryne,,,
"Oreophryne asplenicola (Günther, 2003)",Oreophryne,,,
"Oreophryne atrigularis (Günther, Richards, and Iskandar, 2001)",Oreophryne,,,
"Oreophryne banshee (Kraus, 2016)",Oreophryne,,,
"Oreophryne brevicrus (Zweifel, 1956)",Oreophryne,,,
"Oreophryne brevirostris (Zweifel, Cogger, and Richards, 2005)",Oreophryne,,,
"Sphenophryne celebensis (Müller, 1894)",Oreophryne,,,
"Oreophryne choerophrynoides (Günther, 2015)",Oreophryne,,,
"Oreophryne chlorops (Günther, Iskandar, and Richards, 2023)",Oreophryne,,,
"Oreophryne clamata (Günther, 2003)",Oreophryne,,,
"Cophixalus crucifer (Van Kampen, 1913)",Oreophryne,,,
"Oreophryne curator (Günther, Richards, and Dahl, 2014)",Oreophryne,,,
"Oreophryne flava (Parker, 1934)",Oreophryne,,,
"Oreophryne flavomaculata (Günther and Richards, 2016)",Oreophryne,,,
"Oreophryne furu (Günther, Richards, Tjaturadi, and Iskandar, 2009)",Oreophryne,,,
"Oreophryne geminus (Zweifel, Cogger, and Richards, 2005)",Oreophryne,,,
"Oreophryne habbemensis (Zweifel, Cogger, and Richards, 2005)",Oreophryne,,,
"Oreophryne hypsiops (Zweifel, Menzies, and Price, 2003)",Oreophryne,,,
"Oreophryne idenburgensis (Zweifel, 1956)",Oreophryne,,,
"Oreophryne jeffersoniana (Dunn, 1928)",Oreophryne,,,
"Oreophryne kampeni (Parker, 1934)",Oreophryne,,,
"Oreophryne kapisa (Günther, 2003)",Oreophryne,,,
"Sphenophryne mertoni (Roux, 1910)",Oreophryne,,,
"Oreophryne minuta (Richards and Iskandar, 2000)",Oreophryne,,,
"Sphenophryne monticola (Boulenger, 1897)",Oreophryne,,,
"Oreophryne nicolasi (Richards and Günther, 2019)",Oreophryne,,,
"Oreophryne oviprotector (Günther, Richards, Bickford, and Johnston, 2012)",Oreophryne,,,
"Oreophryne pseudasplenicola (Günther, 2003)",Oreophryne,,,
"Oreophryne pseudunicolor (Günther and Richards, 2016)",Oreophryne,,,
"Oreophryne roedeli (Günther, 2015)",Oreophryne,,,
"Oreophryne rookmaakeri (Mertens, 1927)",Oreophryne,,,
"Oreophryne riyantoi (Putri, Trilaksono, Kurniati, Engilis, and Hamidy, 2023)",Oreophryne,,,
"Oreophryne sibilans (Günther, 2003)",Oreophryne,,,
"Oreophryne streiffeleri (Günther and Richards, 2012)",Oreophryne,,,
"Oreophryne terrestris (Zweifel, Cogger, and Richards, 2005)",Oreophryne,,,
"Oreophryne unicolor (Günther, 2003)",Oreophryne,,,
"Oreophryne waira (Günther, 2003)",Oreophryne,,,
"Oreophryne wapoga (Günther, Richards, and Iskandar, 2001)",Oreophryne,,,
"Hylella wolterstorffi (Werner, 1901)",Oreophryne,,,
"Oreophryne zimmeri (Ahl, 1933)",Oreophryne,,,
