Amphibians of the World Entry,Sequenced? ,BPBM has specimen?,<- how many?,A or B?,Previously called a different genus?,Previous Name,Is it valid?,original description,Allen has?,taxonomic revision?,Allen has?,revision 2?,Allen has?,revision 3?,Allen has?,revision 4?,Allen has?
"Species: Oreophryne anamiatoi Kraus and Allison, 2009",Y,Y,17,A,,,,"Kraus, F., and A. Allison. 2009. New microhylid frogs from the Muller Range, Papua New Guinea. ZooKeys 26: 53–76.",Y,,,,,,,,
"Species: Oreophryne aurora Kraus, 2016",Y,Y,10,A,,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne biroi (Méhely, 1897)",Y,Y,15,A,,,,"Méhely, L. von. 1897. Further contributions to the herpetology of New-Guinea [In Hungarian and English]. Természetrajzi Füzetek. Budapest 20: 398–419.",N,"Wandolleck, B. 1911 ""1910"". Die Amphibien und Reptilien der papuanischen Ausbeute Dr. Schlaginhaufens. Abhandlungen und Berichte des Zoologischen und Anthropologisch-Ethnographischen Museums zu Dresden 13: 1–15.",N,"Van Kampen, P. N. 1919. Die Amphibienfauna von Neu-Guinea. Bijdragen tot de Dierkunde/ Contributions to Zoology. Amsterdam 21: 51–56.",N,"Noble, G. K. 1926. An analysis of the remarkable cases of distribution among the Amphibia, with description of new genera. American Museum Novitates 212: 1–24 (http://digitallibrary.amnh.org/handle/2246/4297).",N,"Loveridge, A. 1948. New Guinean reptiles and amphibians in the Museum of Comparative Zoology and United States National Museum. Bulletin of the Museum of Comparative Zoology. Cambridge, Massachusetts 101: 305–430.",Y
"Species: Oreophryne brachypus (Werner, 1898)",Y,Y,54,A,,,,"Werner, F. 1898. Vorläufige Mittheilung über die von Herrn Prof. F. Dahl im Bismark-Archipel gesammelten Reptilien und Batrachier. Zoologischer Anzeiger 21: 552–556.",N,"Barbour, T. 1912. A contribution to the zoogeography of the East Indian Islands. Memoirs of the Museum of Comparative Zoology. Cambridge, Massachusetts 44: 1–203.",Y,"Tyler, M. J. 1964. Transfer of the New Britain frog Hyla brachypus (Werner) to the microhylid genus Oreophryne. Mitteilungen aus dem Zoologischen Museum in Berlin 40: 1.",Y,,,,
"Species: Oreophryne cameroni Kraus, 2013",Y,Y,3,A,,,,"Kraus, F. 2013. Three new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. ZooKeys 333: 93–121.",Y,,,,,,,,
"Species: Oreophryne geislerorum (Boettger, 1892)",Y,Y,72,A,,,,"Boettger, O. 1892. Katalog der Batrachier-Sammlung im Museum der Senckenbergischen Naturforschenden Gesellshaft in Frankfurt am Main. Frankfurt a. M.: Gebrüder Knauer.",N,"Menzies, J. I., M. J. Tyler, and R. G. Zweifel. 1980. Cophixalus Boettger, 1892 (Amphibia, Salientia): proposed designation of the type species under the plenary power. (Z.N.(S.) 2298. Bulletin of Zoological Nomenclature 36: 231–235.",Y,,,,,,
"Species: Oreophryne inornata Zweifel, 1956",Y,Y,41,A,,,,"Zweifel, R. G. 1956. Results of the Archbold Expeditions. No. 72. Microhylid frogs from New Guinea, with descriptions of new species. American Museum Novitates 1766: 1–49 (http://digitallibrary.amnh.org/handle/2246/4684).",Y,,,,,,,,
"Species: Oreophryne lemur Kraus, 2016",Y,Y,3,A,,,,"Kraus, F. 2016. Ten new species of Oreophryne (Anura, Microhylidae) from Papua New Guinea. Zootaxa 4195: 1–68.",Y,,,,,,,,
"Species: Oreophryne loriae (Boulenger, 1898)",Y,Y,10,A,,,,"Boulenger, G. A. 1898. An account of the reptiles and batrachians collected by Dr. L. Loria in British New Guinea. Annali del Museo Civico di Storia Naturale di Genova. Serie 2, 18: 695–710.",N,"Van Kampen, P. N. 1919. Die Amphibienfauna von Neu-Guinea. Bijdragen tot de Dierkunde/ Contributions to Zoology. Amsterdam 21: 51–56.",N,,,,,,
"Species: Oreophryne notata Zweifel, 2003",Y,Y,36,A,,,,"Zweifel, R. G. 2003. A new species of microhylid frog, genus Oreophryne, from Papua New Guinea. American Museum Novitates 3419: 1–8 (http://digitallibrary.amnh.org/handle/2246/2848).",Y,,,,,,,,
