Trait,Definition
Procoracoids,"Size and shape of the procoracoid cartilages, CR= curved, reduced"
Clavicles,"Size and shape of the clavicles, CR= curved, reduced"
Omasternum,Presence (+) or absence (-) of the omasternum
Sternum,Cartilaginous sternum or sternal plate
Call type,Qualitative description of the call type
Finger:toe width,The ratio of finger pad width to toe pad width
Pectoral ligament,Cartilaginous or ligamentous connection between scapula and procoracoid
Rel toe length,"Relative length of 5th toe compared to length of 3rd toe (5<3, 5=3, 5>3)"
Toe webbing,"Toe webbing assessed on 5th toe (absent (-), basally webbed, well webbed)"
Tympanum:eye diameter,"Tympanum diameter relative to eye diameter (¼, ⅓, or ½)"
Reference,Citation
Pupil horizontal,Whether the pupil is horizontal 
Teeth,Whether teeth are present
Palatal folds,Whether two horizontal palatal folds in front of the pharynx are present
