"Original designation (author, date)",Previous generic designation,Current generic designation,Species,Notes
"Oreophryne anamiatoi (Kraus & Allison, 2009)",Oreophryne,Oreophryne,anamiatoi,Retained in Oreophryne
"Phrynixalus anulatus (Stejneger, 1908)",Oreophryne,Oreophryne,anulata,Retained in Oreophryne
"Oreophryne aurora (Kraus, 2016)",Oreophryne,Oreophryne,aurora,Retained in Oreophryne
"Sphenophryne biroi (Méhely, 1897)",Oreophryne,Oreophryne,biroi,Retained in Oreophryne
"Hylella brachypus (Werner, 1898)",Oreophryne,Oreophryne,brachypus,Retained in Oreophryne
"Oreophryne cameroni (Kraus, 2013)",Oreophryne,Oreophryne,cameroni,Retained in Oreophryne
"Callula frontifasciata (Horst, 1883)",Oreophryne,Oreophryne,frontifasciata,Retained in Oreophryne
"Cophixalus geislerorum (Boettger, 1892)",Oreophryne,Oreophryne,geislerorum,Retained in Oreophryne
"Oreophryne graminis (Günther & Richards, 2012)",Oreophryne,Oreophryne,graminis,Retained in Oreophryne
"Oreophryne inornata (Zweifel, 1956)",Oreophryne,Oreophryne,inornata,Retained in Oreophryne
"Oreophryne lemur (Kraus, 2016)",Oreophryne,Oreophryne,lemur,Retained in Oreophryne
"Sphenophryne loriae (Boulenger, 1898)",Oreophryne,Oreophryne,loriae,Retained in Oreophryne
"Oreophryne nana (Brown & Alcala, 1967)",Oreophryne,Oreophryne,nana,Retained in Oreophryne
"Oreophryne notata (Zweifel, 2003)",Oreophryne,Oreophryne,notata,Retained in Oreophryne
"Oreophryne parkeri (Loveridge, 1955)",Oreophryne,Oreophryne,parkeri,Retained in Oreophryne
"Oreophryne parkopanorum (Kraus, 2013)",Oreophryne,Oreophryne,parkopanorum,Retained in Oreophryne
"Oreophryne philosylleptoris (Kraus, 2016)",Oreophryne,Oreophryne,philosylleptoris,Retained in Oreophryne
"Oreophryne senkenbergiana (Boettger, 1895)",Oreophryne,Oreophryne,seckenbergiana,Retained in Oreophryne
"Oreophryne brunnea (Kraus, 2017)",Oreophryne,Auparoparo,brunnea,Transferred to Auparoparo
"Oreophryne equus (Kraus, 2016)",Oreophryne,Auparoparo,equus,Transferred to Auparoparo
"Oreophryne ezra (Kraus & Allison, 2009)",Oreophryne,Auparoparo,ezra,Transferred to Auparoparo
"Oreophryne insulana (Zweifel, 1956)",Oreophryne,Auparoparo,insulana,Transferred to Auparoparo
"Oreophryne matawan (Kraus, 2016)",Oreophryne,Auparoparo,matawan,Transferred to Auparoparo
"Oreophryne meliades (Kraus, 2016)",Oreophryne,Auparoparo,meliades,Transferred to Auparoparo
"Oreophryne penelopeia (Kraus, 2016)",Oreophryne,Auparoparo,penelopeia,Transferred to Auparoparo
"Oreophryne phoebe (Kraus, 2017)",Oreophryne,Auparoparo,phoebe,Transferred to Auparoparo
"Oreophryne picticrus (Kraus, 2016)",Oreophryne,Auparoparo,picticrus,Transferred to Auparoparo
"Sphenophryne variabilis (Boulenger, 1896)",Oreophryne,Auparoparo,variabilis,Transferred to Auparoparo
"Oreophryne gagneorum (Kraus, 2013)",Oreophryne,Auparoparo,gagneorum,Transferred to Auparoparo
