genus,species,not_examined,genus_note,reference,procoracoid cartilage,clavicles,omosternum,sternum,pectoral connector,call type,finger:toe width,toe length,toe webbing,tympanum:eye diameter
Oreophryne,anamiatoi,F,F,Kraus Allison 2009,curved reduced,curved reduced,absent,cartilaginous, cartilaginous, chuckle or cackle,1.2,5>3,none,1/4
Oreophryne,anulata,T,F,Stejneger 1908,curved reduced,curved reduced,absent,cartilaginous,,,slightly larger,5>3,none,1/2
Oreophryne,aurora,F,F,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,harsh croaks,,5>3,webbed,1/4
Oreophryne,biroi,F,F,Zweifel 2003,curved reduced,curved reduced,absent,cartilaginous,ligamentous,rattle,1.1,5=3,webbed,1/4
Oreophryne,brachypus,F,F,Zweifel 2003,curved reduced,curved reduced,absent,cartilaginous,ligamentous,long squeak,1.1,5>3,webbed,1/4
Oreophryne,cameroni,F,F,Kraus 2013,curved reduced,curved reduced,absent,cartilaginous, cartilaginous,peeping,,5>3,basal,1/4
Oreophryne,frontifasciata,T,F,"Horst 1883, Brongersma 1948",curved reduced,curved reduced,absent,cartilaginous, cartilaginous,,slightly larger,5>3,basal,1/2
Oreophryne,geislerorum,F,F,Zweifel 2003,curved reduced,curved reduced,absent,cartilaginous,ligamentous,rattle,,5>3,webbed,1/3
Oreophryne,graminis,T,F,Gunther Richards 2012,curved reduced,curved reduced,absent,cartilaginous, cartilaginous,peeping,approx equal,5>3,none,1/3
Oreophryne,inornata,F,F,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,honk,1.0,5>3,basal,1/4
Oreophryne,lemur,F,F,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,honk,,5>3,basal,1/4
Oreophryne,loriae,F,F,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,honk,,5>3,webbed,1/3
Oreophryne,nana,T,F,"Brown and Alcala, 1967",curved reduced,curved reduced,absent,cartilaginous, cartilaginous,,approx equal,5<3,none,1/2
Oreophryne,notata,F,F,Zweifel 2003,curved reduced,curved reduced,absent,cartilaginous, cartilaginous,peeping,,5>3,none,1/4
Oreophryne,parkeri,F,F,"Kraus 2013, Zweifel 2003",curved reduced,curved reduced,absent,cartilaginous,ligamentous,peeping,,5>3,webbed,1/3
Oreophryne,parkopanorum,F,F,Kraus 2013,curved reduced,curved reduced,absent,cartilaginous, cartilaginous,,,5<3,none,1/4
Oreophryne,philosylleptoris,F,F,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,honk,1.0,5>3,webbed,1/3
Oreophryne,senckenbergiana,T,F,"Peters Doria 1878, Parker 1934",curved reduced,curved reduced,absent,cartilaginous,cartilaginous?,,slightly larger,5=3,basal,1/3
Auparoparo,brunnea,T,T,Kraus 2017,curved reduced,curved reduced,absent,cartilaginous,ligamentous,rattle,larger,5=3,basal,1/3
Auparoparo,equus,F,T,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,whinny,1.3,5=3,basal,1/4
Auparoparo,ezra,F,T,Kraus Allison 2009,curved reduced,curved reduced,absent,cartilaginous,ligamentous,chattering,,5>3,basal,1/4
Auparoparo,insulana,F,T,"Kraus 2016, Zweifel 1956",curved reduced,curved reduced,absent,cartilaginous,ligamentous,whinny,,5>3,basal,1/4
Auparoparo,matawan,F,T,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,rattle,,5≥3,none,1/4
Auparoparo,meliades,F,T,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,whinny,1.2,5=3,basal,1/3
Auparoparo,penelopeia,F,T,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,whinny,1.3,5>3,basal,1/4
Auparoparo,phoebe,F,T,Kraus 2017,curved reduced,curved reduced,absent,cartilaginous, cartilaginous,whinny,1.2,5>3,webbed,1/4
Auparoparo,picticrus,F,T,Kraus 2016,curved reduced,curved reduced,absent,cartilaginous,ligamentous,whinny,1.3,5>3,basal,1/3
Auparoparo,variabilis,T,T,Boulenger 1896,curved reduced,curved reduced,absent,cartilaginous, cartilaginous,,much larger,,none,>2/3
