gen,col
anc,#d3d3d3
Aphantophryne,#FF0000
Asterophrys,#FF4300
Austrochaperina A,#FF8500
Austrochaperina B,#f88379
Austrochaperina C,#e6194B
Barygenys,#FFC800
Callulops,#F4FF00
Choerophryne,#B1FF00
Cophixalus,#6FFF00
Copiula,#66C2A5
Genyophryne,#808000
Hylophorbus,#00FF59
Liophryne,#00FF9B
Mantophryne,#ffd8b1
Metamagnusia,#00DEFF
Oninia,#d3d3d3
Oreophryne A,#0059FF
Oreophryne,#0059FF
Oreophryne B,#000075
Auparoparo,#000075
Oxydactyla,#d3d3d3
Paedophryne,#dcbeff
Pherohapsis,#d3d3d3
Pseudocallulops,#F400FF
Sphenophryne,#d3d3d3
Xenobatrachus,#964B00
Xenorhina,#964B00
Platypelis,#d3d3d3
Dyscophis,#d3d3d3
Scaphiophryne,#d3d3d3
